assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1250548,168896,Eriocaulon setaceum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,ERIOCAULACEAE,Eriocaulon,setaceum,,,,L.,Least Concern,,3.1,Stable,Global
1257189,168957,Eriocaulon cinereum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,ERIOCAULACEAE,Eriocaulon,cinereum,,,,R.Br.,Least Concern,,3.1,Increasing,Global
1257601,168958,Schoenoplectiella articulata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Schoenoplectiella,articulata,,,,(L.) Lye,Least Concern,,3.1,Stable,Global
1258421,168965,Chara zeylanica,PLANTAE,CHAROPHYTA,CHARALES,CHAROPHYACEAE,CHARACEAE,Chara,zeylanica,,,,Willd.,Least Concern,,3.1,Unknown,Global
1259353,168972,Melochia corchorifolia,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Melochia,corchorifolia,,,,L.,Least Concern,,3.1,Stable,Global
1260422,168980,Ludwigia adscendens,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,ONAGRACEAE,Ludwigia,adscendens,,,,(L.) H.Hara,Least Concern,,3.1,Unknown,Global
1266994,169037,Cyperus exaltatus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Cyperus,exaltatus,,,,Retz.,Least Concern,,3.1,Stable,Global
1270989,169077,Eleocharis dulcis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Eleocharis,dulcis,,,,(Burm.f.) Trin. ex Hensch.,Least Concern,,3.1,Stable,Global
1314034,170450,Vigna luteola,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,luteola,,,,(Jacq.) Benth.,Least Concern,,3.1,Stable,Global
1314255,170452,Vigna marina,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,marina,,,,(Burm.) Merr.,Least Concern,,3.1,Stable,Global
1420606,175246,Schoenoplectus tabernaemontani,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Schoenoplectus,tabernaemontani,,,,(C.C.Gmel.) Palla,Least Concern,,3.1,Stable,Global
1452978,176916,Scleria tessellata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Scleria,tessellata,,,,Willd.,Least Concern,,3.1,Stable,Global
2302584,194166,Thelypteris confluens,PLANTAE,TRACHEOPHYTA,POLYPODIALES,POLYPODIOPSIDA,THELYPTERIDACEAE,Thelypteris,confluens,,,,(Thunb.) C.V.Morton,Least Concern,,3.1,Stable,Global
2793806,30532,Athrotaxis laxifolia,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Athrotaxis,laxifolia,,,,Hook.,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global
2793882,30534,Pherosphaera fitzgeraldii,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Pherosphaera,fitzgeraldii,,,,(F.Muell.) Hook.f.,Critically Endangered,B1ab(iii),3.1,Unknown,Global
2794089,30535,Agathis atropurpurea,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,ARAUCARIACEAE,Agathis,atropurpurea,,,,B.Hyland,Near Threatened,,3.1,Stable,Global
2794261,30536,Agathis microstachya,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,ARAUCARIACEAE,Agathis,microstachya,,,,J.F.Bailey &amp; C.White,Near Threatened,,3.1,Stable,Global
2794516,30542,Callitris oblonga,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,oblonga,,,,Rich. &amp; A.Rich.,Vulnerable,B1ab(iii),3.1,Stable,Global
2807668,31852,Santalum album,PLANTAE,TRACHEOPHYTA,SANTALALES,MAGNOLIOPSIDA,SANTALACEAE,Santalum,album,,,,L.,Vulnerable,A2de,3.1,Decreasing,Global
2810019,32054,Athrotaxis cupressoides,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Athrotaxis,cupressoides,,,,D.Don,Vulnerable,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
2810057,32055,Athrotaxis selaginoides,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Athrotaxis,selaginoides,,,,D.Don,Vulnerable,"A2cd; B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
2813445,32310,Intsia bijuga,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Intsia,bijuga,,,,(Colebr.) Kuntze,Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
2838319,33714,Wrightia laevis,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Wrightia,laevis,,,,Hook.f.,Least Concern,,3.1,Unknown,Global
2842125,34064,Podocarpus dispermus,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Podocarpus,dispermus,,,,C.T.White,Least Concern,,3.1,Stable,Global
2842380,34066,Podocarpus drouynianus,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Podocarpus,drouynianus,,,,F.Muell.,Least Concern,,3.1,Stable,Global
2842696,34070,Callitris acuminata,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,acuminata,,,,(Parl.) F.Muell.,Near Threatened,,3.1,Stable,Global
2842866,34071,Callitris pyramidalis,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,pyramidalis,,,,(Miq. in Lehm.) J.E.Piggin &amp; J.J.Bruhl,Least Concern,,3.1,Increasing,Global
2842980,34072,Callitris baileyi,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,baileyi,,,,C.T.White,Near Threatened,,3.1,Unknown,Global
2843177,34073,Callitris drummondii,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,drummondii,,,,(Parl.) F.Muell.,Near Threatened,,3.1,Stable,Global
2843367,34074,Callitris monticola,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,monticola,,,,J.Garden,Vulnerable,"B1ab(ii,iii,v)",3.1,Decreasing,Global
2843553,34075,Callitris roei,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,roei,,,,(Endl.) F.Muell.,Near Threatened,,3.1,Unknown,Global
2845624,34100,Podocarpus smithii,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Podocarpus,smithii,,,,de Laub.,Least Concern,,3.1,Stable,Global
2846173,34107,Prumnopitys ladei,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Prumnopitys,ladei,,,,(F.M.Bailey) de Laub.,Vulnerable,D1,3.1,Stable,Global
2848138,34153,Lagarostrobos franklinii,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Lagarostrobos,franklinii,,,,(Hook.f.) Quinn,Least Concern,,3.1,Increasing,Global
2887330,39157,Archidium elatum,PLANTAE,BRYOPHYTA,ARCHIDIALES,BRYOPSIDA,ARCHIDIACEAE,Archidium,elatum,,,,Dixon &amp; Sainsbury,Near Threatened,,3.1,Unknown,Global
2959179,41979,Bowenia serrulata,PLANTAE,TRACHEOPHYTA,CYCADALES,CYCADOPSIDA,ZAMIACEAE,Bowenia,serrulata,,,,(W.Bull) Chamb.,Least Concern,,3.1,Stable,Global
2960124,16437966,Agathis robusta,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,ARAUCARIACEAE,Agathis,robusta,,,,(C.Moore ex F.Muell.) F.Muell.,Least Concern,,3.1,Stable,Global
2960511,42201,Callitris arenaria,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,arenaria,,,,(C.A.Gardner) J.E.Piggin &amp; J.J.Bruhl,Least Concern,,3.1,Increasing,Global
2960662,42202,Callitris endlicheri,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,endlicheri,,,,(Parl.) F.M.Bailey,Least Concern,,3.1,Stable,Global
2960816,42203,Callitris macleayana,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,macleayana,,,,(F.Muell.) F.Muell.,Least Concern,,3.1,Stable,Global
2961010,42204,Callitris muelleri,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,muelleri,,,,(Parl.) Benth. &amp; Hook.f.ex F.Muell.,Least Concern,,3.1,Stable,Global
2961157,42205,Callitris canescens,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,canescens,,,,(Parl.) S.T.Blake,Least Concern,,3.1,Stable,Global
2961309,42206,Callitris columellaris,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,columellaris,,,,F.Muell.,Least Concern,,3.1,Stable,Global
2961510,42207,Callitris preissii,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,preissii,,,,Miq.,Least Concern,,3.1,Stable,Global
2961655,42208,Callitris rhomboidea,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,rhomboidea,,,,R.Br. ex Rich. &amp; A.Rich.,Least Concern,,3.1,Stable,Global
2961814,42209,Callitris verrucosa,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Callitris,verrucosa,,,,(A.Cunn. ex Endl.) F.Muell.,Least Concern,,3.1,Unknown,Global
2962853,42225,Diselma archeri,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Diselma,archeri,,,,Hook.f.,Least Concern,,3.1,Stable,Global
2968343,42266,Phyllocladus aspleniifolius,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Phyllocladus,aspleniifolius,,,,(Labill.) Hook.f.,Least Concern,,3.1,Stable,Global
2983200,42500,Podocarpus elatus,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Podocarpus,elatus,,,,R.Br. ex Endl.,Least Concern,,3.1,Stable,Global
2983612,42506,Podocarpus grayae,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Podocarpus,grayae,,,,de Laub.,Least Concern,,3.1,Stable,Global
2983852,42511,Podocarpus lawrencei,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Podocarpus,lawrencei,,,,Hook.f.,Least Concern,,3.1,Stable,Global
2985532,42531,Podocarpus spinulosus,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Podocarpus,spinulosus,,,,(Sm.) R.Br.ex Mirb.,Least Concern,,3.1,Stable,Global
2986438,42544,Sundacarpus amarus,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Sundacarpus,amarus,,,,(Blume) C.N.Page,Least Concern,,3.1,Decreasing,Global
2992136,44049,Pherosphaera hookeriana,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,PODOCARPACEAE,Pherosphaera,hookeriana,,,,W.Archer,Near Threatened,,3.1,Stable,Global
5681486,163984,Juncus articulatus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,JUNCACEAE,Juncus,articulatus,,,,L.,Least Concern,,3.1,Stable,Global
6523971,168620,Marsilea crenata,PLANTAE,TRACHEOPHYTA,SALVINIALES,POLYPODIOPSIDA,MARSILEACEAE,Marsilea,crenata,,,,C.Presl,Least Concern,,3.1,Unknown,Global
6524306,168629,Typha orientalis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,TYPHACEAE,Typha,orientalis,,,,C.Presl.,Least Concern,,3.1,Stable,Global
6534201,168753,Sesbania javanica,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Sesbania,javanica,,,,Miq.,Least Concern,,3.1,Stable,Global
6539809,168809,Drosera peltata,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,DROSERACEAE,Drosera,peltata,,,,Thunb.,Least Concern,,3.1,Unknown,Global
6540546,168813,Hemisteptia lyrata,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Hemisteptia,lyrata,,,,(Bunge) Fisch. &amp; C.A.Mey.,Least Concern,,3.1,Unknown,Global
6543142,168865,Monochoria hastata,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,PONTEDERIACEAE,Monochoria,hastata,,,,(L.) Solms,Least Concern,,3.1,Unknown,Global
6543959,168872,Monochoria vaginalis,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,PONTEDERIACEAE,Monochoria,vaginalis,,,,(Burm.f.) C.Presl,Least Concern,,3.1,Unknown,Global
6546482,168891,Cyperus cephalotes,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Cyperus,cephalotes,,,,Vahl,Least Concern,,3.1,Unknown,Global
6550745,168935,Hydrolea zeylanica,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,HYDROLEACEAE,Hydrolea,zeylanica,,,,(L.) Vahl,Least Concern,,3.1,Unknown,Global
6558056,168978,Juncus prismatocarpus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,JUNCACEAE,Juncus,prismatocarpus,,,,R.Br.,Least Concern,,3.1,Unknown,Global
6558635,168987,Isoetes coromandelina,PLANTAE,TRACHEOPHYTA,ISOETALES,LYCOPODIOPSIDA,ISOETACEAE,Isoetes,coromandelina,,,,L.f.,Least Concern,,3.1,Decreasing,Global
6559440,168991,Landoltia punctata,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Landoltia,punctata,,,,(G.Mey.) Les &amp; D.J.Crawford,Least Concern,,3.1,Unknown,Global
6560789,169004,Actinoscirpus grossus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Actinoscirpus,grossus,,,,(L.f.) Goetgh. &amp; D.A.Simpson,Least Concern,,3.1,Unknown,Global
6561474,169011,Hydrocharis dubia,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Hydrocharis,dubia,,,,(Blume) Backer,Least Concern,,3.1,Unknown,Global
6561794,169015,Halophila ovalis,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Halophila,ovalis,,,,(R.Br.) Hook.f.,Least Concern,,3.1,Stable,Global
6564343,169029,Blyxa octandra,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Blyxa,octandra,,,,(Roxb) Planch. ex Thwaites,Least Concern,,3.1,Unknown,Global
6566220,169038,Drosera burmanni,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,DROSERACEAE,Drosera,burmanni,,,,Vahl,Least Concern,,3.1,Unknown,Global
6567252,169042,Cyanotis axillaris,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,COMMELINACEAE,Cyanotis,axillaris,,,,(L.) D.Don ex Sweet,Least Concern,,3.1,Unknown,Global
6568226,169045,Limnophila aromatica,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,PLANTAGINACEAE,Limnophila,aromatica,,,,(Lam.) Merr. ,Least Concern,,3.1,Unknown,Global
6990528,173321,Posidonia kirkmanii,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,POSIDONIACEAE,Posidonia,kirkmanii,,,,J.Kuo &amp; Cambridge,Least Concern,,3.1,Stable,Global
6990855,173323,Ruppia polycarpa,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,RUPPIACEAE,Ruppia,polycarpa,,,,R.Mason,Least Concern,,3.1,Stable,Global
7003559,173379,Posidonia ostenfeldii,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,POSIDONIACEAE,Posidonia,ostenfeldii,,,,Hartog,Least Concern,,3.1,Unknown,Global
7336295,176949,Persicaria dichotoma,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Persicaria,dichotoma,,,,(Blume) Masam.,Least Concern,,3.1,Unknown,Global
7337925,176955,Hydrocotyle javanica,PLANTAE,TRACHEOPHYTA,APIALES,MAGNOLIOPSIDA,ARALIACEAE,Hydrocotyle,javanica,,,,Thunb.,Least Concern,,3.1,Unknown,Global
7338671,176957,Phragmites vallatorius,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Phragmites,vallatorius,,,,(Pluk. ex L.) Veldkamp,Least Concern,,3.1,Stable,Global
7355050,177020,Fimbristylis merrillii,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Fimbristylis,merrillii,,,,J.Kern,Least Concern,,3.1,Unknown,Global
7363493,177036,Carex maculata,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Carex,maculata,,,,Boott,Least Concern,,3.1,Unknown,Global
7404840,177280,Pogonatherum paniceum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Pogonatherum,paniceum,,,,(Lam.) Hack.,Least Concern,,3.1,Stable,Global
7417583,177342,Paspalum longifolium,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Paspalum,longifolium,,,,Roxb.,Least Concern,,3.1,Unknown,Global
7423709,177369,Carex hebecarpa,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Carex,hebecarpa,,,,C.A.Mey.,Least Concern,,3.1,Unknown,Global
7425019,177376,Nitella myriotricha,PLANTAE,CHAROPHYTA,CHARALES,CHAROPHYACEAE,CHARACEAE,Nitella,myriotricha,,,,A.Braun ex Kützing,Least Concern,,3.1,Unknown,Global
7429640,177402,Pogostemon stellatus,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Pogostemon,stellatus,,,,(Lour.) Kuntze,Least Concern,,3.1,Stable,Global
7610085,178800,Nypa fruticans,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Nypa,fruticans,,,,Wurmb,Least Concern,,3.1,Unknown,Global
7634086,178881,Cycas cupida,PLANTAE,TRACHEOPHYTA,CYCADALES,CYCADOPSIDA,CYCADACEAE,Cycas,cupida,,,,P.I.Forst.,Vulnerable,D2,3.1,Unknown,Global
8878679,194032,Lemna tenera,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Lemna,tenera,,,,Kurz,Least Concern,,3.1,Unknown,Global
8879182,194034,Monochoria cyanea,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,PONTEDERIACEAE,Monochoria,cyanea,,,,(F.Muell.) F.Muell.,Least Concern,,3.1,Unknown,Global
8879584,194037,Sparganium subglobosum,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,TYPHACEAE,Sparganium,subglobosum,,,,Morong,Least Concern,,3.1,Unknown,Global
8897009,194754,Typhonium flagelliforme,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Typhonium,flagelliforme,,,,(Lodd.) Blume,Least Concern,,3.1,Unknown,Global
9117304,199685,Wolffia angusta,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,ARACEAE,Wolffia,angusta,,,,Landolt,Least Concern,,3.1,Unknown,Global
9118334,199692,Hanguana malayana,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,HANGUANACEAE,Hanguana,malayana,,,,(Jack) Merr.,Least Concern,,3.1,Unknown,Global
9119618,199701,Dentella repens,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Dentella,repens,,,,(L.) J.R.Forst. &amp; G.Forst.,Least Concern,,3.1,Stable,Global
9128342,199827,Najas tenuifolia,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Najas,tenuifolia,,,,R.Br.,Least Concern,,3.1,Unknown,Global
9734286,32835,Araucaria cunninghamii,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,ARAUCARIACEAE,Araucaria,cunninghamii,,,,Aiton ex A.Cunn.,Least Concern,,3.1,Unknown,Global
9898196,34926,Wollemia nobilis,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,ARAUCARIACEAE,Wollemia,nobilis,,,,"W.G.Jones, K.D.Hill &amp; J.M.Allen",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
9898524,34927,Alectryon ramiflorus,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Alectryon,ramiflorus,,,,S.T.Reynolds,Endangered,B1+2c,2.3,,Global
9898599,34928,Aglaia brassii,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,MELIACEAE,Aglaia,brassii,,,,Merr. &amp; L.M.Perry,Vulnerable,A1c,2.3,,Global
10007188,36608,Aglaia australiensis,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,MELIACEAE,Aglaia,australiensis,,,,Pannell,Vulnerable,D2,2.3,,Global
10007363,36610,Aglaia meridionalis,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,MELIACEAE,Aglaia,meridionalis,,,,Pannell,Lower Risk/near threatened,,2.3,,Global
10040152,37224,Myristica ampliata,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MYRISTICACEAE,Myristica,ampliata,,,,de Wilde,Vulnerable,D2,2.3,,Global
10098958,38184,Archontophoenix myolensis,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Archontophoenix,myolensis,,,,Dowe,Vulnerable,C2a,2.3,,Global
10124169,38575,Hedyscepe canterburyana,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Hedyscepe,canterburyana,,,,(C.Moore &amp; F.Muell.) H.Wendl. &amp; Drude,Vulnerable,D2,2.3,,Global
10125688,38576,Howea belmoreana,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Howea,belmoreana,,,,(C.Moore &amp; F.Muell.) Becc.,Vulnerable,D2,2.3,,Global
10125794,38577,Howea forsteriana,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Howea,forsteriana,,,,(F.Muell.) Becc.,Vulnerable,D2,2.3,,Global
10129460,38593,Linospadix microcarya,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Linospadix,microcarya,,,,(Domin) Burret,Lower Risk/near threatened,,2.3,,Global
10129605,38594,Livistona alfredii,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Livistona,alfredii,,,,F.Muell.,Lower Risk/conservation dependent,,2.3,,Global
10129786,38595,Livistona drudei,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Livistona,drudei,,,,F.Muell. ex Drude,Endangered,A1c,2.3,,Global
10138925,38615,Normanbya normanbyi,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Normanbya,normanbyi,,,,(W.Hill) L.H.Bailey,Vulnerable,A1c,2.3,,Global
10146773,38733,Wodyetia bifurcata,PLANTAE,TRACHEOPHYTA,ARECALES,LILIOPSIDA,ARECACEAE,Wodyetia,bifurcata,,,,A.K.Irvine,Lower Risk/conservation dependent,,2.3,,Global
10178869,39244,Vandiemenia ratkowskiana,PLANTAE,MARCHANTIOPHYTA,METZGERIALES,JUNGERMANNIOPSIDA,METZGERIACEAE,Vandiemenia,ratkowskiana,,,,Hewson,Critically Endangered,B1+2c,2.3,Unknown,Global
10179089,39247,Ambuchanania leucobryoides,PLANTAE,BRYOPHYTA,AMBUCHANANIALES,SPHAGNOPSIDA,AMBUCHANANIACEAE,Ambuchanania,leucobryoides,,,,"(T.Yamag., Seppelt &amp; Z.Iwats.) Seppelt &amp; H.A.Crum",Vulnerable,D2,2.3,Unknown,Global
