genus,prop_endemic,species_number
Lagunaria,1,2
Lamarchea,1,2
Lambertia,1,10
Lamprolobium,1,2
Landoltia,1,1
Laportea,0,2
Larsenaikia,1,3
Lasianthus,0.3333333333333333,3
Lasiopetalum,1,49
Lasjia,1,3
Lastreopsis,0.7368421052631579,19
Latrobea,1,8
Launaea,0,1
Lawrencella,1,2
Lawrencia,1,12
Laxmannia,1,13
Lecanopteris,0,1
Lechenaultia,0.9666666666666667,30
Leea,0.3333333333333333,3
Leersia,0,1
Legnephora,1,1
Leichhardtia,0.9583333333333334,24
Leiocarpa,1,10
Leionema,1,25
Lemna,0,4
Lemooria,1,1
Lenbrassia,1,1
Lenwebbia,1,2
Lepidagathis,0,1
Lepiderema,1,6
Lepidium,0.9743589743589743,39
Lepidobolus,1,9
Lepidopetalum,0,1
Lepidorrhachis,1,1
Lepidosperma,0.9866666666666667,75
Lepidozamia,1,2
Lepironia,0,1
Lepisanthes,0,2
Lepistemon,1,1
Leporella,1,1
Leptaspis,0,1
Leptecophylla,0.8,5
Leptinella,0.8,5
Leptocarpus,1,15
Leptoceras,1,1
Leptochilus,0,1
Leptochloa,1,1
Leptomeria,1,17
Leptopteris,1,2
Leptorhynchos,1,10
Leptosema,1,13
Leptospermum,0.9764705882352941,85
Leptostigma,1,2
Lepturus,0.8,5
Lepyrodia,1,22
Lespedeza,0,1
Lethedon,1,1
Leucas,0,1
Leucochrysum,1,6
Leucophyta,1,1
Leucopogon,0.9723756906077348,181
Levenhookia,1,11
Levieria,0,1
Libertia,0.5,2
Licuala,0,1
Ligustrum,0.5,2
Lilaeopsis,1,2
Limnophila,0.2,5
Limonium,1,2
Limosella,0.6666666666666666,3
Lindera,0,1
Lindernia,1,42
Lindsaea,0.26666666666666666,15
Lindsayomyrtus,0,1
Linospadix,1,5
Linum,1,2
Liparis,0.9090909090909091,11
Liparophyllum,0.875,8
Lissanthe,1,9
Lithomyrtus,0.9090909090909091,11
Litsea,0.7272727272727273,11
Livistona,0.8823529411764706,17
Lobelia,0.9411764705882353,34
Logania,1,22
Lomandra,0.9636363636363636,55
Lomariopsis,0,1
Lomatia,1,9
Lophatherum,0,1
Lophopetalum,1,1
Lophostemon,0.5,4
Lordhowea,1,1
Lotus,0.5,2
Loxocarya,1,5
Ludwigia,0,5
Luffa,0.6666666666666666,3
Luisia,1,2
Lumnitzera,0,2
Lunasia,0,1
Luvunga,0,1
Luzula,0.8461538461538461,13
Lycianthes,0,2
Lycium,1,1
Lycopodiella,0.2,5
Lycopodium,0,3
Lycopus,1,1
Lyginia,1,3
Lygodium,0,3
Lyperanthus,1,2
Lysiana,1,8
Lysicarpus,1,1
Lysimachia,0.25,4
Lysinema,1,6
Lysiosepalum,1,5
Lythrum,0.5,4
Macadamia,0.5,4
Macaranga,0.5,6
Macarthuria,1,9
Macgregoria,1,1
Machaerina,0.6428571428571429,14
Mackinlaya,0.5,2
Maclura,0,1
Macropidia,1,1
Macropteranthes,1,5
Macrothelypteris,0,2
Macrozamia,1,41
Maesa,0,2
Maireana,0.9827586206896551,58
Malaccotristicha,1,1
Malacocera,1,4
Malaisia,0,1
Malleostemon,1,14
Mallotus,0.35714285714285715,14
Malva,1,2
Malvastrum,1,1
Mammea,0.5,2
Manilkara,0,1
Maniltoa,0,1
Mapania,0,1
Maranthes,0,1
Margaritaria,0.5,2
Marianthus,1,15
Marsilea,0.7777777777777778,9
Maundia,1,1
Mazus,0,1
Medicosma,0.9,10
Medinilla,1,1
Megahertzia,1,1
Meiogyne,0.8571428571428571,7
Meionectes,1,2
Melaleuca,0.9471544715447154,246
Melanostachya,1,1
Melastoma,0.3333333333333333,3
Melhania,0.3333333333333333,3
Melia,0,1
Melichrus,1,4
Melicope,0.6666666666666666,15
Melicytus,0.6,5
Melochia,0,2
Melodinus,0.2,5
Memecylon,0.6666666666666666,3
Menkea,1,6
Mentha,1,6
Merremia,0.25,4
Meryta,1,2
Mesomelaena,1,5
Mesua,1,1
Metrosideros,1,2
Mezoneuron,0.4,5
Micraira,1,15
Micrantheum,1,4
Microcachrys,1,1
Microcarpaea,0.5,2
Microchloa,0,1
Microcorys,1,20
Microcybe,1,4
Microlaena,0.5,2
Microlepia,0,1
Microlepidium,1,2
Micromelum,0,1
Micromyrtus,1,50
Micropera,0,1
Microseris,0.6666666666666666,3
Microsorum,0.16666666666666666,6
Microstachys,0,1
Microstegium,0,1
Microtis,0.9090909090909091,22
Miliusa,0.6666666666666666,3
Millettia,0,1
Milligania,1,5
Millotia,1,16
Mimulus,0.6666666666666666,3
Mimusops,0,1
Minuria,1,12
Mirbelia,1,29
Mischarytera,0.6666666666666666,3
Mischocarpus,0.8181818181818182,11
Mitrantia,1,1
Mitrasacme,0.94,50
Mitrella,1,1
Mitreola,0,1
Mitrephora,0,1
Mnesithea,0.5,4
Mobilabium,1,1
Molineria,0,1
Momordica,0,2
Monachather,1,1
Monococcus,0,1
Monogramma,0,1
Monoon,1,3
Monotaxis,1,8
Monotoca,1,11
Montia,0.5,2
Montitega,0,1
Morinda,0,2
Motherwellia,1,1
Mucuna,0.5,4
Muehlenbeckia,0.5833333333333334,12
Muelleranthus,1,4
Muellerargia,0,1
Muellerina,0.8,5
Muellerolimon,1,1
Muiriantha,1,1
Mullerochloa,1,1
Muniria,1,4
Murdannia,0,4
Murraya,0,2
Musa,0.5,2
Musgravea,1,2
Myoporum,0.8947368421052632,19
Myosotis,0.5,2
Myosurus,1,1
Myriocephalus,1,15
Myriophyllum,0.8974358974358975,39
Myristica,0,3
Myrmecodia,0.3333333333333333,3
Myrsine,0.9583333333333334,24
Nablonium,1,1
Najas,0.25,8
Nauclea,0,1
Needhamiella,1,1
Negria,1,1
Neisosperma,1,3
Nelsonia,1,1
Nelumbo,0,1
Nematolepis,1,7
Neoalsomitra,0.5,2
Neoastelia,1,1
Neobassia,1,2
Neobyrnesia,1,1
Neofabricia,1,3
Neolamarckia,0,1
Neolitsea,0.3333333333333333,3
Neololeba,0,1
Neonauclea,0,1
Neorites,1,1
Neoroepera,1,2
Neosciadium,1,1
Neosepicaea,0,2
Neostrearia,1,1
Nepenthes,0.75,4
Nephrolepis,0.1111111111111111,9
Neptunia,0.8,5
Nertera,0,1
Nervilia,0.3333333333333333,6
Nestegis,0,1
Neurachne,1,7
Newcastelia,1,9
Nicotiana,0.96,25
Niemeyera,1,3
Nitraria,1,1
Noahdendron,1,1
Nomismia,1,1
Normanbya,1,1
Notelaea,1,12
Nothoalsomitra,1,1
Nothocnide,0,1
Nothofagus,1,3
Nothorites,1,1
Notisia,1,1
Notochloe,1,1
Notogrammitis,0.14285714285714285,7
Notoleptopus,0,1
Notothixos,0.25,4
Nuytsia,1,1
Nymphaea,0.6111111111111112,18
Nymphoides,0.8095238095238095,21
Nypa,0,1
Nyssanthes,1,4
Oberonia,0.6,5
Ochrosia,0.25,4
Ochrosperma,1,5
Ocimum,0.5,2
Octarrhena,0,1
Odixia,1,2
Oeceoclades,1,1
Oenanthe,0,1
Olax,0.9166666666666666,12
Oldenlandia,0.7272727272727273,22
Olea,0,1
Oleandra,0,1
Olearia,1,113
Oligarrhena,1,1
Omegandra,1,1
Omphacomeria,1,1
Omphalea,0.6666666666666666,3
Omphalolappula,1,1
Opercularia,1,19
Operculina,0.25,4
Ophioglossum,0,7
Ophiorrhiza,1,1
Ophiuros,0,1
Opilia,0,1
Opisthiolepis,1,1
Oplismenus,0.2,5
Oraniopsis,1,1
Oreobolus,0.8571428571428571,7
Oreogrammitis,0.6,5
Oreomyrrhis,1,7
Orianthera,1,13
Orites,1,6
Ormosia,1,1
Ornduffia,1,7
Orobanche,0,1
Orthoceras,0,1
Orthosiphon,0,1
Orthrosanthus,1,4
Oryza,0.2,5
Osbeckia,0,2
Osbornia,0,1
Oschatzia,1,2
Osteocarpum,1,4
Ostrearia,1,1
Ottelia,0,2
Ottochloa,0.5,2
Ourisia,1,1
Owenia,1,5
Oxalis,0.2857142857142857,7
Oxychloris,1,1
Oxylobium,1,5
Oxymyrrhine,1,4
Oxystelma,0,1
Oxytes,0,1
Ozothamnus,1,51
Pachycladon,1,1
Pachygone,0,1
Pachymitus,1,1
Pachystoma,0,1
Paenula,1,1
Palaquium,1,1
Palmeria,0.8,5
Pandanus,0.8666666666666667,15
Pandorea,0.7142857142857143,7
Panicum,0.5714285714285714,21
Paphia,1,1
Papillilabium,1,1
Papistylus,1,2
Pappochroma,1,9
Paraceterach,1,1
Paractaenum,1,2
Paragonis,1,1
Paragoodia,1,1
Paramapania,0,1
Paraneurachne,1,1
Parantennaria,1,1
Parapachygone,1,1
Pararchidendron,0,1
Paraserianthes,0,1
Parietaria,0.75,4
Parinari,0,1
Parsonsia,0.9166666666666666,36
Paspalidium,0.8636363636363636,22
Paspalum,0.2,5
Passiflora,0.6,5
Patersonia,1,18
Pauridia,1,5
Pavetta,1,10
Pavonia,0,1
Pecteilis,1,15
Pedleya,1,1
Pelargonium,0.8571428571428571,7
Pellaea,0.5,6
Peltophorum,0,1
Pembertonia,1,1
Pemphis,0,1
Pennantia,1,2
Pentaceras,1,1
Pentachondra,0.75,4
Pentalepis,1,6
Pentapeltis,1,2
Pentapetes,0,1
Pentapogon,1,1
Pentaptilon,1,1
Peperomia,0.5,8
Peplidium,0.75,4
Pericalymma,1,4
Peripentadenia,1,2
Peristeranthus,1,1
Peristrophe,1,1
Peristylus,0.75,4
Perotis,0.5,2
Perrottetia,1,1
Persicaria,0.08333333333333333,12
Persoonia,1,101
Petalostigma,0.8,5
Petalostylis,1,2
Petermannia,1,1
Petraeomyrtus,1,1
Petraeovitex,0,1
Petrophile,1,66
Phacellothrix,0,1
Phaius,0.75,4
Phalaenopsis,1,1
Phaleria,0.6,5
Phebalium,1,30
Pheidochloa,0,1
Pheladenia,1,1
Pherosphaera,1,2
Philotheca,1,53
Philydrella,1,2
Philydrum,0,1
Phlebocarya,1,3
Phlegmariurus,0.4,10
Phlegmatospermum,1,4
Pholidota,0,1
Phoringopsis,1,3
Phormium,0,1
Phragmites,0,2
Phyla,0,1
Phylacium,0,1
Phyllachne,0,1
Phyllangium,1,5
Phyllanthera,1,1
Phyllanthus,0.74,50
Phyllocladus,1,1
Phyllodium,0.5,2
Phylloglossum,0,1
Phyllota,1,11
Phymatocarpus,1,3
Physalis,0,1
Physopsis,1,5
Picris,0.8,10
Pilbara,1,1
Pilea,0,1
Pileanthus,1,8
Pilidiostigma,0.8333333333333334,6
Pilostyles,1,3
Pilularia,0,1
Pimelea,0.954954954954955,111
Pimelodendron,0,1
Piper,0.375,8
Pipturus,0,1
Pisonia,0,4
Pitaviaster,1,1
Pithocarpa,1,4
Pittosporum,0.7619047619047619,21
Pityrodia,1,20
Placospermum,1,1
Plagiobothrys,1,4
Plagiocarpus,1,7
Planchonella,0.625,16
Planchonia,0.5,2
Planocarpa,1,3
Plantago,0.9583333333333334,24
Platostoma,0,1
Platycerium,0.5,4
Platychorda,1,2
Platylobium,1,9
Platysace,1,23
Platytheca,1,3
Platyzoma,1,1
Plectorrhiza,1,3
Plectranthus,0.9166666666666666,48
Pleiogynium,0,1
Pleioluma,1,7
Pleogyne,1,1
Plesioneuron,0,1
Pleuranthodium,0,1
Pleurocarpaea,1,2
Pleurolobus,0,1
Pleurophyllum,0,1
Pleurostylia,0,1
Plexaure,1,3
Plinthanthesis,1,3
Pluchea,0.8666666666666667,15
Plumbago,0,1
Pneumatopteris,0,4
Poa,0.8636363636363636,44
Podocarpus,0.8571428571428571,7
Podolepis,0.9629629629629629,27
Podolobium,1,6
Podotheca,1,6
Pogonatherum,0,1
Pogonolepis,1,2
Pogostemon,0,1
Poikilogyne,0,1
Polhillides,0,1
Polianthion,1,4
Pollia,0.5,2
Polyalthia,1,5
Polycalymma,1,1
Polycarpaea,0.9285714285714286,14
Polygala,0.8222222222222222,45
Polygonum,0,1
Polymeria,0.9090909090909091,11
Polyosma,1,6
Polyphlebium,0.5,2
Polypogon,1,1
Polyscias,0.42857142857142855,14
Polystichum,0.8571428571428571,7
Pomaderris,0.9558823529411765,68
Pomatocalpa,0,2
Pomax,1,2
Pontederia,1,4
Poranthera,0.9333333333333333,15
Portulaca,0.8461538461538461,13
Posidonia,1,8
Potamogeton,0.45454545454545453,11
Potamophila,1,1
Potentilla,1,1
Pothos,0.6666666666666666,3
Pouzolzia,0.5,4
Praecoxanthus,1,1
Prasophyllum,1,124
Premna,0.125,8
Pringlea,0,1
Prionotes,1,1
Procris,0,1
Proiphys,0.6,5
Pronephrium,0,2
Prosaptia,0.6666666666666666,3
Prostanthera,1,101
Prumnopitys,1,2
Prunus,0,2
Psammagrostis,1,1
Psammomoya,1,4
Pseudanthus,1,9
Pseuderanthemum,0.5,2
Pseudochaetochloa,1,1
Pseudognaphalium,0,1
Pseudopanax,1,1
Pseudopogonatherum,0,2
Pseudoraphis,0.5,4
Pseudovanilla,0,1
Pseudoweinmannia,1,2
Pseuduvaria,1,4
Psilotum,0,2
Psychotria,0.6923076923076923,13
Psychrophila,1,2
Psydrax,0.9090909090909091,22
Pteridium,0,1
Pteridrys,0,1
Pteris,0.36363636363636365,11
Pternandra,0,1
Pterocaulon,0.6153846153846154,13
Pterochaeta,1,1
Pterostylis,0.9711934156378601,243
Pterygopappus,1,1
Ptilothrix,1,1
Ptilotus,0.9914529914529915,117
Ptisana,0.3333333333333333,3
Ptychosema,1,1
Ptychosperma,0.5,2
Puccinellia,0.8571428571428571,7
Pueraria,0,1
Pullea,1,1
Pullenia,0,1
Pultenaea,0.9761904761904762,126
Pupalia,0,2
Pycnarrhena,0,2
Pycnosorus,1,6
Pycnospora,0,1
Pyrorchis,1,2
Pyrrosia,0.25,4
Quinetia,1,1
Quinqueremulus,1,1
Quintinia,1,4
Quisqualis,1,1
Quoya,1,7
Radyera,1,1
Randia,1,3
Ranunculus,0.8837209302325582,43
Reedia,1,1
Regelia,1,5
Remusatia,0,1
Rhadinothamnus,1,3
Rhagodia,1,11
Rhamnella,0,1
Rhamnus,0,1
Rhamphicarpa,0,1
Rhaphidophora,0.3333333333333333,3
Rhaphidospora,1,3
Rhaponticum,1,1
Rhetinocarpha,1,1
Rhinerrhiza,1,1
Rhinerrhizopsis,1,1
Rhipidorchis,1,1
Rhizanthella,1,4
Rhizophora,0,3
Rhodamnia,0.7894736842105263,19
Rhodanthe,1,45
Rhododendron,1,1
Rhodomyrtus,0.7142857142857143,7
Rhodosphaera,1,1
Rhopalostylis,0,1
Rhus,0,1
Rhynchosia,0.6666666666666666,6
Rhynchospora,0.4666666666666667,15
Rhysotoechia,0.8,5
Rhytidosporum,1,5
Richea,1,11
Ricinocarpos,1,28
Rimacola,1,1
Rinorea,0,1
Rinzia,1,18
Ripogonum,0.8333333333333334,6
Ristantia,1,3
Robiquetia,0.5,2
Rockinghamia,1,2
Roebuckiella,1,9
Roepera,1,31
Romnalda,1,2
Rorippa,0.8333333333333334,6
Rostellularia,0.5,2
Rotala,0.6,5
Rothia,0,1
Rottboellia,0,1
Rourea,1,1
Roycea,1,3
Rubus,0.625,8
Rumex,0.8571428571428571,7
Rumicastrum,1,1
Rumohra,0,1
Ruppia,0.25,4
Rutidosis,1,9
Ryparosa,1,1
Ryticaryum,1,1
Rytidosperma,0.8717948717948718,39
Saccharum,0,1
Sacciolepis,0,2
Saccolabiopsis,0.5,2
Sageretia,0,1
Sagina,1,2
Salacia,0.3333333333333333,3
Salicornia,0.6666666666666666,3
Salomonia,0,1
Salsola,0,1
Salvia,0,1
Samadera,1,2
Sambucus,1,2
Samolus,0.6,5
Sankowskya,1,1
Sannantha,1,12
Santalum,0.6666666666666666,6
Sarcanthopsis,0,1
Sarcochilus,0.9444444444444444,18
Sarcolobus,0.3333333333333333,3
Sarcomelicope,0,1
Sarcopetalum,0,1
Sarcopteryx,1,5
Sarcotoechia,1,6
Sarcozona,1,2
Saurauia,1,1
Sauropus,0.95,20
Saxipoa,1,1
Scaevola,0.9733333333333334,75
Scambopus,1,1
Schefflera,0,3
Schelhammera,0.5,2
Schenkia,1,2
Schistocarpaea,1,1
Schistotylus,1,1
Schizachyrium,0.75,8
Schizacme,1,2
Schizaea,0.2,5
Schizomeria,1,2
Schoenia,1,5
Schoenolaena,1,1
Schoenoplectiella,0.42857142857142855,7
Schoenoplectus,0,3
Schoenorchis,0,2
Schoenus,0.8636363636363636,88
Scholtzia,1,13
Schoutenia,0,1
Sciaphila,0,2
Scindapsus,0,1
Scirpodendron,0,1
Scirpus,0,1
Scleranthus,0.7142857142857143,7
Scleria,0.2,25
Scleroblitum,1,1
Scleroglossum,1,1
Sclerolaena,0.9850746268656716,67
Scolopia,1,1
Scrotochloa,0,2
Scutellaria,1,2
Scyphiphora,0,1
Sebaea,0.5,2
Secamone,0.5,4
Sedopsis,1,2
Sehima,0,1
Selaginella,0.8,10
Selliera,1,1
Selliguea,1,1
Semecarpus,0,1
Senecio,0.8888888888888888,90
Senegalia,0.6666666666666666,3
Senna,0.9230769230769231,39
Seorsus,1,2
Serichonus,1,1
Seringia,1,18
Serjania,1,1
Sersalisia,1,3
Sesbania,0.9,10
Sesuvium,0,1
Setaria,0.5,8
Shonia,1,4
Sicyos,0.5,2
Sida,0.9047619047619048,42
Siegfriedia,1,1
Sigesbeckia,0.5,2
Siloxerus,1,4
Siphonodon,1,3
Sloanea,1,4
Smilax,0.3333333333333333,6
Smithia,0,2
Solanum,0.9318181818181818,176
Solenogyne,1,3
Solori,1,2
Sonchus,0,1
Sondottia,1,2
Sonneratia,0,3
Sophora,0.75,4
Sorghum,0.7222222222222222,18
Sowerbaea,1,5
Sparganium,0,1
Spartochloa,1,1
Spathia,1,1
Spathoglottis,0,2
Spergularia,0.6,5
Spermacoce,0.9365079365079365,63
Sphaeranthus,0,2
Sphaerantia,1,2
Sphaerolobium,1,22
Sphaeromorphaea,0.5,6
Sphaerostephanos,0,2
Sphalmium,1,1
Sphenoclea,0,1
Sphenostemon,0,1
Sphenotoma,1,6
Spiculaea,1,1
Spinifex,0.25,4
Spiraeanthemum,1,1
Spiranthes,0.3333333333333333,3
Spirodela,0,1
Spirogardnera,1,1
Spondias,0,1
Sporadanthus,1,6
Sporobolus,0.65,20
Sprengelia,0.8571428571428571,7
Spyridium,1,44
Stachystemon,1,9
Stackhousia,0.85,20
Staurogyne,0,1
Stawellia,1,2
Steganthera,0.6,5
Stellaria,0.75,8
Stemodia,0.9230769230769231,13
Stemona,0.5,4
Stenanthemum,1,29
Stenanthera,1,3
Stenocarpus,0.7777777777777778,9
Stenochlaena,0,1
Stenopetalum,1,12
Stenostegia,1,1
Stenotaphrum,0,1
Stephania,0.75,4
Sterculia,0.3333333333333333,3
Sticherus,0.2,5
Stictocardia,0.5,2
Stigmaphyllon,0,3
Stigmatodactylus,1,2
Stirlingia,1,7
Stockwellia,1,1
Stonesiella,1,1
Storckiella,1,1
Strangea,1,3
Streblus,0.3333333333333333,3
Streptoglossa,1,8
Streptothamnus,1,1
Striga,0.3333333333333333,3
Strongylodon,0,1
Strychnos,0.5,4
Stuartina,1,2
Stuckenia,0,1
Stylidium,0.9856115107913669,278
Stylobasium,1,2
Stypandra,1,2
Styphelia,1,20
Suaeda,1,2
Suregada,0,1
Suriana,0,1
Surreya,1,2
Swainsona,1,85
Sylvipoa,1,1
Symonanthus,1,2
Symphionema,1,2
Symplocos,0.7894736842105263,19
Synaphea,1,56
Synaptantha,1,2
Syncarpia,0.6666666666666666,3
Synima,0.6666666666666666,3
Synostemon,0.9285714285714286,14
Synoum,0,1
Syringodium,0,1
Syzygium,0.7297297297297297,74
Tabernaemontana,0.5,2
Tacca,0.5,2
Tadehagi,0,1
Taeniophyllum,0.6666666666666666,12
Taenitis,0,2
Tainia,0,1
Tapeinochilos,0,1
Tapeinosperma,1,3
Tapheocarpa,1,1
Taplinia,1,1
Taraxacum,1,2
Taraxis,1,1
Tarenna,0.3333333333333333,3
Tarennoidea,0,1
Tasmannia,0.875,8
Taxandria,1,11
Tecomanthe,1,2
Tectaria,0.2,5
Tecticornia,0.9555555555555556,45
Telmatoblechnum,0,1
Telopea,1,5
Templetonia,1,13
Tephrosia,0.8805970149253731,67
Teratophyllum,1,1
Terminalia,0.8709677419354839,31
Ternstroemia,0,1
Tersonia,1,1
Tetracarpaea,1,1
Tetracera,0.5,2
Tetragonia,0.7142857142857143,7
Tetrameles,0,1
Tetramolopium,1,1
Tetrapora,1,4
Tetrardisia,1,1
Tetraria,0.75,4
Tetrarrhena,1,6
Tetrastigma,1,5
Tetratheca,1,53
Teucrium,0.9583333333333334,24
Thalassia,0,1
Thalassodendron,0.5,2
Thaleropia,1,1
Thaumastochloa,0.5714285714285714,7
Thedachloa,1,1
Thelasis,0,2
Thelepogon,1,1
Thelionema,1,3
Thelymitra,0.9158878504672897,107
Thelypteris,0,1
Themeda,0.3333333333333333,3
Thesium,1,1
Thespesia,0,2
Thespidium,1,1
Thinicola,1,1
Thiseltonia,1,1
Thismia,0.875,8
Thomasia,1,29
Thoracostachyum,1,1
Threlkeldia,1,2
Thrixspermum,0,3
Thryptomene,1,47
Thuarea,0,1
Thunbergia,1,1
Thynninorchis,1,2
Thyridia,0,1
Thyridolepis,1,3
Thysanotus,0.9433962264150944,53
Tietkensia,1,1
Tiliacora,1,1
Timonius,0.5,2
Tinospora,1,3
Tmesipteris,0.6666666666666666,6
Todea,0,1
Toechima,0.8333333333333334,6
Toona,0,1
Torenia,0.3333333333333333,3
Townsonia,1,1
Trachoma,1,3
Trachymene,0.975609756097561,41
Trachystylis,1,1
Tragia,1,3
Tragus,0,1
Trema,0,2
Tremandra,1,2
Tremulina,1,2
Trianthema,1,12
Tribonanthes,1,6
Tribulopis,1,6
Tribulus,0.8571428571428571,14
Trichanthodium,1,4
Trichocline,1,1
Trichodesma,0,1
Trichoglottis,1,1
Trichosanthes,0.6666666666666666,6
Trichospermum,0,1
Tricoryne,0.8888888888888888,9
Tricostularia,0.8333333333333334,6
Triflorensia,0.3333333333333333,3
Trigastrotheca,1,1
Triglochin,0.9285714285714286,14
Trigonella,1,1
Trigonostemon,1,1
Trihaloragis,1,1
Trimenia,1,1
Triodia,1,79
Trioncinia,1,2
Tripladenia,1,1
Triplarina,1,7
Tripogonella,0,1
Tripterococcus,1,1
Triptilodiscus,1,1
Triraphis,0,1
Trisetum,0,1
Tristania,1,1
Tristaniopsis,1,3
Tristellateia,0,1
Tristiropsis,0.5,2
Trithuria,1,10
Triumfetta,0.9491525423728814,59
Triunia,1,4
Trochocarpa,0.875,8
Tropidia,0.5,2
Trymalium,1,13
Turraea,0,1
Typha,0,2
Typhonium,0.8823529411764706,17
Tyrbastes,1,1
Uncaria,0,3
Ungeria,1,1
Uranthoecium,1,1
Uraria,0,2
Urena,0.6666666666666666,3
Urochloa,0.6666666666666666,15
Urodon,1,2
Uromyrtus,1,4
Urtica,0.5,2
Utania,0,1
Utricularia,0.7894736842105263,76
Uvaria,0.6666666666666666,12
Uvedalia,1,2
Vachellia,1,9
Vallisneria,0.875,8
Van-royena,1,1
Vanda,0,1
Vandasina,0,1
Vandenboschia,0,1
Vavaea,0,1
Velleia,0.9523809523809523,21
Ventilago,1,3
Verbena,0.75,4
Veronica,0.8076923076923077,26
Verreauxia,1,3
Verticordia,1,101
Vesselowskya,1,2
Vigna,0.25,8
Viminaria,1,1
Vincetoxicum,0.8125,16
Viola,0.75,12
Viscum,0.5,4
Vitex,0.8888888888888888,9
Vitis,1,1
Vittadinia,1,28
Voacanga,0,1
Vrydagzynea,0.5,2
Wahlenbergia,0.9285714285714286,28
Waitzia,1,5
Walteranthus,1,1
Waltheria,0.5,2
Walwhalleya,1,4
Websteria,1,1
Welchiodendron,0,1
Wendlandia,1,5
Westringia,1,31
Wetria,0,1
Whiteochloa,0.8333333333333334,6
Whyanbeelia,1,1
Wikstroemia,0.5,2
Wilkiea,0.9166666666666666,12
Wilsonia,0.6666666666666666,3
Winifredia,1,1
Wittsteinia,1,1
Wodyetia,0,1
Wolffia,0,3
Wollastonia,0.5,2
Wollemia,1,1
Woollsia,1,1
Wrightia,0.5,4
Wurmbea,1,28
Xanthophyllum,0.5,2
Xanthorrhoea,1,28
Xanthosia,1,20
Xanthostemon,0.8571428571428571,14
Xenostegia,0,1
Xerochloa,1,3
Xerochrysum,0.8461538461538461,13
Xerolirion,1,1
Xerothamnella,1,2
Ximenia,0,1
Xylocarpus,0,3
Xylomelum,1,6
Xylopia,1,2
Xylosma,1,4
Xyris,0.84,25
Yakirra,1,6
Yamazakia,0,1
Youngia,0,1
Zaleya,1,1
Zannichellia,0,1
Zanthoxylum,0.16666666666666666,6
Zealandia,1,1
Zehneria,0.5,4
Zeuxine,1,3
Zieria,1,59
Ziziphus,0.6666666666666666,3
Zornia,0.8235294117647058,17
Zostera,0,1
Zoysia,0.5,2
Zygochloa,1,1
